clean,corrupted,correct_token,incorrect_token,transitive_verb,intransitive_verb,template,template_text
After the criminal grabbed the writer who answered late,After the criminal paused the writer who answered late,for,was,grabbed,paused,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the criminal paused the writer who answered late,After the criminal grabbed the writer who answered late,was,for,grabbed,paused,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
As the scientist pulled the tourist who waited outside,As the scientist sighed the tourist who waited outside,for,was,pulled,sighed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the scientist sighed the tourist who waited outside,As the scientist pulled the tourist who waited outside,was,for,pulled,sighed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the chef grabbed the writer who left early,As the chef shouted the writer who left early,for,was,grabbed,shouted,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the chef shouted the writer who left early,As the chef grabbed the writer who left early,was,for,grabbed,shouted,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the teacher pulled the driver who won the prize,As the teacher paused the driver who won the prize,for,was,pulled,paused,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the teacher paused the driver who won the prize,As the teacher pulled the driver who won the prize,was,for,pulled,paused,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
After the artist helped the writer who spoke too softly,After the artist blinked the writer who spoke too softly,for,was,helped,blinked,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the artist blinked the writer who spoke too softly,After the artist helped the writer who spoke too softly,was,for,helped,blinked,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the driver followed the woman who made a mistake,After the driver waited the woman who made a mistake,for,was,followed,waited,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the driver waited the woman who made a mistake,After the driver followed the woman who made a mistake,was,for,followed,waited,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
When the pilot pushed the woman who made a mistake,When the pilot danced the woman who made a mistake,for,was,pushed,danced,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the pilot danced the woman who made a mistake,When the pilot pushed the woman who made a mistake,was,for,pushed,danced,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
As the criminal hired the man who missed the train,As the criminal waited the man who missed the train,for,was,hired,waited,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the criminal waited the man who missed the train,As the criminal hired the man who missed the train,was,for,hired,waited,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
When the lawyer escorted the tourist who wrote a letter,When the lawyer stumbled the tourist who wrote a letter,for,was,escorted,stumbled,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the lawyer stumbled the tourist who wrote a letter,When the lawyer escorted the tourist who wrote a letter,was,for,escorted,stumbled,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
After the driver photographed the singer who forgot the keys,After the driver blinked the singer who forgot the keys,for,was,photographed,blinked,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the driver blinked the singer who forgot the keys,After the driver photographed the singer who forgot the keys,was,for,photographed,blinked,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the chef pushed the neighbor who made a mistake,After the chef vanished the neighbor who made a mistake,for,was,pushed,vanished,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the chef vanished the neighbor who made a mistake,After the chef pushed the neighbor who made a mistake,was,for,pushed,vanished,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
As the detective frightened the doctor who shouted too loud,As the detective wandered the doctor who shouted too loud,for,was,frightened,wandered,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the detective wandered the doctor who shouted too loud,As the detective frightened the doctor who shouted too loud,was,for,frightened,wandered,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
When the scientist punished the neighbor who left early,When the scientist sighed the neighbor who left early,for,was,punished,sighed,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the scientist sighed the neighbor who left early,When the scientist punished the neighbor who left early,was,for,punished,sighed,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
After the artist punished the man who shouted too loud,After the artist danced the man who shouted too loud,for,was,punished,danced,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the artist danced the man who shouted too loud,After the artist punished the man who shouted too loud,was,for,punished,danced,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the student pulled the man who won the prize,After the student stumbled the man who won the prize,for,was,pulled,stumbled,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the student stumbled the man who won the prize,After the student pulled the man who won the prize,was,for,pulled,stumbled,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
As the scientist shot the tourist who told bad jokes,As the scientist slept the tourist who told bad jokes,for,was,shot,slept,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the scientist slept the tourist who told bad jokes,As the scientist shot the tourist who told bad jokes,was,for,shot,slept,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
When the artist attacked the clerk who won the prize,When the artist slept the clerk who won the prize,for,was,attacked,slept,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the artist slept the clerk who won the prize,When the artist attacked the clerk who won the prize,was,for,attacked,slept,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
While the criminal escorted the tourist who spoke too softly,While the criminal slept the tourist who spoke too softly,for,was,escorted,slept,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the criminal slept the tourist who spoke too softly,While the criminal escorted the tourist who spoke too softly,was,for,escorted,slept,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the pilot pushed the singer who spoke too softly,While the pilot laughed the singer who spoke too softly,for,was,pushed,laughed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the pilot laughed the singer who spoke too softly,While the pilot pushed the singer who spoke too softly,was,for,pushed,laughed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
As the scientist arrested the student who wrote a letter,As the scientist waited the student who wrote a letter,for,was,arrested,waited,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the scientist waited the student who wrote a letter,As the scientist arrested the student who wrote a letter,was,for,arrested,waited,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the pilot surprised the teacher who left early,As the pilot nodded the teacher who left early,for,was,surprised,nodded,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the pilot nodded the teacher who left early,As the pilot surprised the teacher who left early,was,for,surprised,nodded,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the artist supported the driver who forgot the keys,As the artist nodded the driver who forgot the keys,for,was,supported,nodded,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the artist nodded the driver who forgot the keys,As the artist supported the driver who forgot the keys,was,for,supported,nodded,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
After the chef watched the writer who missed the train,After the chef danced the writer who missed the train,for,was,watched,danced,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the chef danced the writer who missed the train,After the chef watched the writer who missed the train,was,for,watched,danced,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
When the driver frightened the woman who answered late,When the driver sighed the woman who answered late,for,was,frightened,sighed,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the driver sighed the woman who answered late,When the driver frightened the woman who answered late,was,for,frightened,sighed,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
After the artist betrayed the neighbor who broke the rule,After the artist blinked the neighbor who broke the rule,for,was,betrayed,blinked,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the artist blinked the neighbor who broke the rule,After the artist betrayed the neighbor who broke the rule,was,for,betrayed,blinked,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
When the pilot blamed the gardener who spoke too softly,When the pilot arrived the gardener who spoke too softly,for,was,blamed,arrived,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the pilot arrived the gardener who spoke too softly,When the pilot blamed the gardener who spoke too softly,was,for,blamed,arrived,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
While the farmer rescued the singer who paid the bill,While the farmer collapsed the singer who paid the bill,for,was,rescued,collapsed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the farmer collapsed the singer who paid the bill,While the farmer rescued the singer who paid the bill,was,for,rescued,collapsed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
After the criminal mocked the writer who called the office,After the criminal nodded the writer who called the office,for,was,mocked,nodded,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the criminal nodded the writer who called the office,After the criminal mocked the writer who called the office,was,for,mocked,nodded,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the doctor fired the clerk who told bad jokes,After the doctor shouted the clerk who told bad jokes,for,was,fired,shouted,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the doctor shouted the clerk who told bad jokes,After the doctor fired the clerk who told bad jokes,was,for,fired,shouted,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
As the scientist killed the child who called the office,As the scientist waited the child who called the office,for,was,killed,waited,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the scientist waited the child who called the office,As the scientist killed the child who called the office,was,for,killed,waited,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
After the chef hired the student who forgot the keys,After the chef smiled the student who forgot the keys,for,was,hired,smiled,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the chef smiled the student who forgot the keys,After the chef hired the student who forgot the keys,was,for,hired,smiled,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
While the student mocked the clerk who spoke too softly,While the student stumbled the clerk who spoke too softly,for,was,mocked,stumbled,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the student stumbled the clerk who spoke too softly,While the student mocked the clerk who spoke too softly,was,for,mocked,stumbled,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
After the doctor pulled the neighbor who wrote a letter,After the doctor collapsed the neighbor who wrote a letter,for,was,pulled,collapsed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the doctor collapsed the neighbor who wrote a letter,After the doctor pulled the neighbor who wrote a letter,was,for,pulled,collapsed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
When the farmer called the man who spoke too softly,When the farmer relaxed the man who spoke too softly,for,was,called,relaxed,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the farmer relaxed the man who spoke too softly,When the farmer called the man who spoke too softly,was,for,called,relaxed,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
After the doctor grabbed the gardener who waited outside,After the doctor hesitated the gardener who waited outside,for,was,grabbed,hesitated,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the doctor hesitated the gardener who waited outside,After the doctor grabbed the gardener who waited outside,was,for,grabbed,hesitated,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
While the doctor questioned the tourist who won the prize,While the doctor laughed the tourist who won the prize,for,was,questioned,laughed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the doctor laughed the tourist who won the prize,While the doctor questioned the tourist who won the prize,was,for,questioned,laughed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the tourist visited the woman who told bad jokes,While the tourist slept the woman who told bad jokes,for,was,visited,slept,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the tourist slept the woman who told bad jokes,While the tourist visited the woman who told bad jokes,was,for,visited,slept,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the criminal chased the tourist who paid the bill,While the criminal danced the tourist who paid the bill,for,was,chased,danced,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the criminal danced the tourist who paid the bill,While the criminal chased the tourist who paid the bill,was,for,chased,danced,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
As the tourist questioned the gardener who spoke too softly,As the tourist vanished the gardener who spoke too softly,for,was,questioned,vanished,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the tourist vanished the gardener who spoke too softly,As the tourist questioned the gardener who spoke too softly,was,for,questioned,vanished,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
While the sailor pulled the singer who broke the rule,While the sailor laughed the singer who broke the rule,for,was,pulled,laughed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the sailor laughed the singer who broke the rule,While the sailor pulled the singer who broke the rule,was,for,pulled,laughed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the doctor surprised the teacher who told bad jokes,While the doctor blinked the teacher who told bad jokes,for,was,surprised,blinked,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the doctor blinked the teacher who told bad jokes,While the doctor surprised the teacher who told bad jokes,was,for,surprised,blinked,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
As the artist frightened the man who called the office,As the artist relaxed the man who called the office,for,was,frightened,relaxed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the artist relaxed the man who called the office,As the artist frightened the man who called the office,was,for,frightened,relaxed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
When the doctor surprised the gardener who shouted too loud,When the doctor waited the gardener who shouted too loud,for,was,surprised,waited,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the doctor waited the gardener who shouted too loud,When the doctor surprised the gardener who shouted too loud,was,for,surprised,waited,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
After the chef ignored the driver who lost the ticket,After the chef collapsed the driver who lost the ticket,for,was,ignored,collapsed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the chef collapsed the driver who lost the ticket,After the chef ignored the driver who lost the ticket,was,for,ignored,collapsed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
As the driver warned the singer who made a mistake,As the driver slept the singer who made a mistake,for,was,warned,slept,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the driver slept the singer who made a mistake,As the driver warned the singer who made a mistake,was,for,warned,slept,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
After the pilot rescued the chef who called the office,After the pilot collapsed the chef who called the office,for,was,rescued,collapsed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the pilot collapsed the chef who called the office,After the pilot rescued the chef who called the office,was,for,rescued,collapsed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
While the pilot arrested the tourist who lost the ticket,While the pilot collapsed the tourist who lost the ticket,for,was,arrested,collapsed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the pilot collapsed the tourist who lost the ticket,While the pilot arrested the tourist who lost the ticket,was,for,arrested,collapsed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
As the farmer greeted the tourist who made a mistake,As the farmer stumbled the tourist who made a mistake,for,was,greeted,stumbled,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the farmer stumbled the tourist who made a mistake,As the farmer greeted the tourist who made a mistake,was,for,greeted,stumbled,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
When the soldier watched the driver who left early,When the soldier relaxed the driver who left early,for,was,watched,relaxed,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the soldier relaxed the driver who left early,When the soldier watched the driver who left early,was,for,watched,relaxed,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
As the pilot frightened the singer who missed the train,As the pilot collapsed the singer who missed the train,for,was,frightened,collapsed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the pilot collapsed the singer who missed the train,As the pilot frightened the singer who missed the train,was,for,frightened,collapsed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
After the farmer chased the chef who missed the train,After the farmer hesitated the chef who missed the train,for,was,chased,hesitated,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the farmer hesitated the chef who missed the train,After the farmer chased the chef who missed the train,was,for,chased,hesitated,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the chef rescued the doctor who missed the train,After the chef hesitated the doctor who missed the train,for,was,rescued,hesitated,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the chef hesitated the doctor who missed the train,After the chef rescued the doctor who missed the train,was,for,rescued,hesitated,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
When the tourist mocked the neighbor who spoke too softly,When the tourist sighed the neighbor who spoke too softly,for,was,mocked,sighed,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the tourist sighed the neighbor who spoke too softly,When the tourist mocked the neighbor who spoke too softly,was,for,mocked,sighed,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
As the tourist ignored the clerk who answered late,As the tourist vanished the clerk who answered late,for,was,ignored,vanished,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the tourist vanished the clerk who answered late,As the tourist ignored the clerk who answered late,was,for,ignored,vanished,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
While the scientist pushed the gardener who made a mistake,While the scientist vanished the gardener who made a mistake,for,was,pushed,vanished,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the scientist vanished the gardener who made a mistake,While the scientist pushed the gardener who made a mistake,was,for,pushed,vanished,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
When the artist pulled the child who shouted too loud,When the artist smiled the child who shouted too loud,for,was,pulled,smiled,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the artist smiled the child who shouted too loud,When the artist pulled the child who shouted too loud,was,for,pulled,smiled,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
While the artist ignored the man who called the office,While the artist hesitated the man who called the office,for,was,ignored,hesitated,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the artist hesitated the man who called the office,While the artist ignored the man who called the office,was,for,ignored,hesitated,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
When the driver visited the student who told bad jokes,When the driver nodded the student who told bad jokes,for,was,visited,nodded,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the driver nodded the student who told bad jokes,When the driver visited the student who told bad jokes,was,for,visited,nodded,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
As the scientist called the woman who wrote a letter,As the scientist collapsed the woman who wrote a letter,for,was,called,collapsed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the scientist collapsed the woman who wrote a letter,As the scientist called the woman who wrote a letter,was,for,called,collapsed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the lawyer questioned the writer who shouted too loud,As the lawyer departed the writer who shouted too loud,for,was,questioned,departed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the lawyer departed the writer who shouted too loud,As the lawyer questioned the writer who shouted too loud,was,for,questioned,departed,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the scientist blamed the doctor who paid the bill,As the scientist wandered the doctor who paid the bill,for,was,blamed,wandered,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the scientist wandered the doctor who paid the bill,As the scientist blamed the doctor who paid the bill,was,for,blamed,wandered,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
After the doctor shot the gardener who wrote a letter,After the doctor shouted the gardener who wrote a letter,for,was,shot,shouted,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the doctor shouted the gardener who wrote a letter,After the doctor shot the gardener who wrote a letter,was,for,shot,shouted,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
While the detective surprised the chef who paid the bill,While the detective stumbled the chef who paid the bill,for,was,surprised,stumbled,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the detective stumbled the chef who paid the bill,While the detective surprised the chef who paid the bill,was,for,surprised,stumbled,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
As the soldier shot the doctor who spoke too softly,As the soldier nodded the doctor who spoke too softly,for,was,shot,nodded,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the soldier nodded the doctor who spoke too softly,As the soldier shot the doctor who spoke too softly,was,for,shot,nodded,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
While the scientist insulted the student who paid the bill,While the scientist collapsed the student who paid the bill,for,was,insulted,collapsed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the scientist collapsed the student who paid the bill,While the scientist insulted the student who paid the bill,was,for,insulted,collapsed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
After the student surprised the student who lost the ticket,After the student laughed the student who lost the ticket,for,was,surprised,laughed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the student laughed the student who lost the ticket,After the student surprised the student who lost the ticket,was,for,surprised,laughed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
As the scientist pushed the driver who paid the bill,As the scientist nodded the driver who paid the bill,for,was,pushed,nodded,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the scientist nodded the driver who paid the bill,As the scientist pushed the driver who paid the bill,was,for,pushed,nodded,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
After the scientist escorted the tourist who shouted too loud,After the scientist stumbled the tourist who shouted too loud,for,was,escorted,stumbled,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the scientist stumbled the tourist who shouted too loud,After the scientist escorted the tourist who shouted too loud,was,for,escorted,stumbled,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
While the tourist mocked the chef who called the office,While the tourist blinked the chef who called the office,for,was,mocked,blinked,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the tourist blinked the chef who called the office,While the tourist mocked the chef who called the office,was,for,mocked,blinked,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
After the artist betrayed the chef who missed the train,After the artist sighed the chef who missed the train,for,was,betrayed,sighed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
After the artist sighed the chef who missed the train,After the artist betrayed the chef who missed the train,was,for,betrayed,sighed,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
As the farmer greeted the neighbor who missed the train,As the farmer shouted the neighbor who missed the train,for,was,greeted,shouted,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the farmer shouted the neighbor who missed the train,As the farmer greeted the neighbor who missed the train,was,for,greeted,shouted,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
When the criminal insulted the clerk who told bad jokes,When the criminal paused the clerk who told bad jokes,for,was,insulted,paused,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
When the criminal paused the clerk who told bad jokes,When the criminal insulted the clerk who told bad jokes,was,for,insulted,paused,garden_npz_v-trans_mod,When the {subj} {verb} the {obj} who {rel}
While the farmer supported the singer who spoke too softly,While the farmer vanished the singer who spoke too softly,for,was,supported,vanished,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the farmer vanished the singer who spoke too softly,While the farmer supported the singer who spoke too softly,was,for,supported,vanished,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the detective visited the gardener who waited outside,While the detective laughed the gardener who waited outside,for,was,visited,laughed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the detective laughed the gardener who waited outside,While the detective visited the gardener who waited outside,was,for,visited,laughed,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
As the student watched the man who broke the rule,As the student shouted the man who broke the rule,for,was,watched,shouted,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
As the student shouted the man who broke the rule,As the student watched the man who broke the rule,was,for,watched,shouted,garden_npz_v-trans_mod,As the {subj} {verb} the {obj} who {rel}
While the tourist surprised the singer who missed the train,While the tourist arrived the singer who missed the train,for,was,surprised,arrived,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
While the tourist arrived the singer who missed the train,While the tourist surprised the singer who missed the train,was,for,surprised,arrived,garden_npz_v-trans_mod,While the {subj} {verb} the {obj} who {rel}
After the teacher frightened the doctor who called the office,After the teacher vanished the doctor who called the office,for,was,frightened,vanished,garden_npz_v-trans_mod,After the {subj} {verb} the {obj} who {rel}
